File name	WAVE0002.TXT	V 1.11									
Title comment	Nov-20										
Trigger Time	24/06/2011 15:39										
Ch	Mode	Range	Comment	Scaling	Ratio	Offset					
CH-1	Tc	2000 C	P11	Off	-	-					
CH-2	Tc	2000 C	P12	Off	-	-					
CH-3	Tc	2000 C	P13	Off	-	-					
CH-4	Tc	2000 C	P14	Off	-	-					
CH-5	Tc	2000 C	P15	Off	-	-					
CH-6	Tc	2000 C	P16	Off	-	-					
CH-7	Tc	2000 C	P17	Off	-	-					
CH-8	Tc	2000 C	P18	Off	-	-					
CH-9	Tc	2000 C	P19	Off	-	-					
CH-10	Tc	2000 C	P20	Off	-	-					
Time	CH-1[C]	CH-2[C]	CH-3[C]	CH-4[C]	CH-5[C]	CH-6[C]	CH-7[C]	CH-8[C]	CH-9[C]	CH-10[C]	Event
'24-06-11 15:41:14	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:15	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:16	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:17	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:18	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:41:19	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:20	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:21	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:22	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:23	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:24	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:25	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:26	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:27	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:28	2,11E+01	2,15E+01	2,14E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:29	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,09E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:30	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:31	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:32	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:33	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:34	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 15:41:35	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:36	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:41:37	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 15:41:38	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:41:39	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
